;topik;berita
81;Berita dan Politik;"				UAS Kesal Gegara Pelaku Bom Bunuh Diri Disebut Mati Konyol: Orang Mati Syahid Kok!			"
82;Berita dan Politik;"				Michael Sianipar: PSI Sudah Tak Seperti yang Dijanjikan dan Dicitrakan !			"
83;Berita dan Politik;"				Heboh Meikarta Disebut Bak 'Kota Mati', Lippo Angkat Bicara			"
84;Berita dan Politik;"				Anak SD ke Ma'ruf Amin: Izin Pak Kiai, Nyontek Itu Dosa Enggak?			"
85;Berita dan Politik;"				Banyak Proyek Besar di Depok yang Belum Rampung, Wali Kota Beri Alasan			"
86;Berita dan Politik;"				JPU Tanya Penyesalan Posting Meme Stupa, Roy Suryo Jawab Merasa Dizalimi			"
87;Berita dan Politik;"				Harta Gabungan 50 Orang Terkaya di Indonesia Naik, Totalnya Capai Rp2,8 Kuadriliun			"
88;Berita dan Politik;"				Dukung Pasal Perzinaan di KUHP Baru, MUI: Dapat Membenahi Moral			"
89;Berita dan Politik;"				Prabowo Beri Deddy Corbuzier Pangkat Letnan Kolonel Tituler TNI AD!			"
90;Berita dan Politik;"				Keluarga Kalideres Bertahan Hidup, Isi Rekening Jadi Alasan Tak Bisa Makamkan			"
91;Berita dan Politik;"				Pemkot Depok Mau Gusur SDN Pocin 1, Deolipa: Kayak Negara Tirani Aja			"
92;Berita dan Politik;"				1 Demonstran Kena Peluru Karet, Massa Aksi Demo HAM Sedunia Dipukul Mundur Polisi!			"
93;Berita dan Politik;"				Ditanya Jet Pribadi Anies, Willy Nasdem: Semua Nabi Naik Kendaraan Terbaik			"
94;Sejarah & Xenology;"				Stromtroopers Pasukan Elite Dari Jerman			"
95;Berita dan Politik;"				Ironisnya Roy Suryo Sebut Jadi Korban UU ITE Padahal Ikut Nyusun			"
96;Berita dan Politik;"				Lima Ritual Unik Prosesi Siraman Kaesang Pangarep - Erina Gudono			"
97;Berita dan Politik;"				KPK Tunggu Hasil Pemeriksaan IDI untuk Tahan Lukas Enembe			"
98;Berita dan Politik;"				Ortu Murid SDN Pocin 1 Ungkap Pemkot Mau Angkut Barang-barang Sekolah			"
99;Berita dan Politik;"				Pegiat HAM: Rezim Jokowi Sekarang Mirip Orde Baru Soeharto			"
